group,model,value
Recall,SVC (RBF Kernel),0.87222222222222223
Accuracy,SVC (RBF Kernel),0.81788235294117628
F1,SVC (RBF Kernel),0.84028888397464196
Precision,SVC (RBF Kernel),0.82598507048507019
AUC,SVC (RBF Kernel),0.89554478301015628
Recall,Logistic Regression,0.83750000000000002
Accuracy,Logistic Regression,0.80880882352941186
F1,Logistic Regression,0.82636318549012022
Precision,Logistic Regression,0.83962709512709499
AUC,Logistic Regression,0.8953139427516158
Recall,Linear SVC,0.83083333333333342
Accuracy,Linear SVC,0.80652941176470572
F1,Linear SVC,0.82328441012032316
Precision,Linear SVC,0.83991497391497361
AUC,Linear SVC,0.89629501385041532
Recall,kNN,0.81583333333333341
Accuracy,kNN,0.80858333333333321
F1,kNN,0.81977970567444236
Precision,kNN,0.84648928848928828
AUC,kNN,0.88648430286241919
Recall,Multinomial Naive Bayes,0.83555555555555572
Accuracy,Multinomial Naive Bayes,0.7822941176470587
F1,Multinomial Naive Bayes,0.80641930807410678
Precision,Multinomial Naive Bayes,0.79104267954267948
AUC,Multinomial Naive Bayes,0.85018467220683158
Recall,Random Forest,0.76805555555555571
Accuracy,Random Forest,0.77254901960784284
F1,Random Forest,0.79081237325065512
Precision,Random Forest,0.84309784659784615
AUC,Random Forest,0.87586565096952906
Recall,Decision Tree,0.77861111111111148
Accuracy,Decision Tree,0.73461764705882349
F1,Decision Tree,0.74582956142883472
Precision,Decision Tree,0.78508619158619142
AUC,Decision Tree,0.73135964912280704
Recall,Gaussian Naive Bayes,0.19527777777777777
Accuracy,Gaussian Naive Bayes,0.55065196078431389
F1,Gaussian Naive Bayes,0.29504834054834045
Precision,Gaussian Naive Bayes,0.79083333333333328
AUC,Gaussian Naive Bayes,0.88610918744228995
